tomato_id,species,type,variety,taste_profile,sugar_brix,diameter_cm,cost_per_kg
1,Solanum lycopersicum,Cherry,Sungold,Very Sweet,9.3,2.4,6.8
2,Solanum lycopersicum,Cherry,Sweet 100,Sweet,8.5,2.2,6.1
3,Solanum lycopersicum,Grape,Santa,Sweet-Firm,8.1,2.0,5.9
4,Solanum lycopersicum,Grape,Juliet,Tangy-Firm,7.2,2.6,5.5
5,Solanum lycopersicum,Roma,Roma VF,Balanced,6.2,5.6,4.2
6,Solanum lycopersicum,Roma,San Marzano,Rich-Balanced,7.0,5.2,4.9
7,Solanum lycopersicum,Beefsteak,Big Beef,Juicy,5.4,10.8,3.9
8,Solanum lycopersicum,Beefsteak,Beefmaster,Mild-Juicy,5.1,11.5,3.7
9,Solanum lycopersicum,Heirloom,Brandywine,Sweet-Rich,6.8,9.4,5.2
10,Solanum lycopersicum,Heirloom,Cherokee Purple,Rich-Smoky,6.6,8.8,5.4
11,Solanum lycopersicum,Cherry,Yellow Pear,Light-Sweet,7.6,2.3,6.0
12,Solanum lycopersicum,Heirloom,Green Zebra,Tangy-Bright,6.4,6.3,5.0
